I built a sandcastle with my nephew. We made one small castle.,I built a sandcastle with my nephew
I forgot to wear my virus-proof mask when I visited the pet store.,I forgot to wear my virus-proof mask when I visited the nursing home.
I had to give a speech for class. My friends applauded for me.,I had to give a speech for class.
I cooked breakfast.,I cooked breakfast.  I threw it up after.
I go to buy a new saxophone from the instrument shop.,I go to buy a new saxophone from the instrument shop. Their are no saxophones left at the shop.
My cousin asked me to sing at his bar mitzvah and I agreed.,My cousin asked me to sing at his bar mitzvah and my voice broke on stage.
I spent the afternoon playing hide and go seek with my younger brother. He giggled and had a huge smile every time I caught him.,I spent the afternoon playing hide and go seek with my younger brother. It wore him out enough to take a nap without whining.
I went for a well baby checkup. I got up to date immunization records.,I went for a well baby checkup.
I went to the ballroom to stretch. I went to the ballroom to dance with my friend. ,I went to the ballroom to stretch. I wen to the ballroom just to dance with someone. 
I made my own coffee this morning. It was ok.,I made my own coffee this morning.
I decided to hatch my own eggs at home. I kept the incubator warm and all my eggs hatched.,I decided to hatch my own eggs at home.
"When I took out all the parts to build my new desk, I realized that I had extra parts.","When I took out all the parts to build my new desk, I realized that I was missing some parts."
I made a new bed for my dachshund with a suitcase I recycled. The interesting bed was featured on the front page of a Kennel club Magazine.,I made a new bed for my dachshund with a suitcase I recycled. The bed was the only place the dog would sleep.
I play with my cat by having him chase a red laser on the floor.,I play with my cat by having him chase a red laser on the floor. I play with my cat by having him chase a red laser on the floor. Sometimes he'll run into something and knock it over..
"I spoke to the group, and we settled on a deadline.","I spoke to the group, and we couldn't agree on anything."
I went to the beach last sunday. I forgot my sunscreen.,I went to the beach last sunday. I forgot my sunscreen and am sunburned now.
I was doing my taxes.,I was doing my taxes. I got confused and had to hire someone to help.
I was talking on my phone as the plane was about to take off. I finished my conversation just in time.,I was talking on my phone as the plane was about to take off. The person I was talking to understood I needed to hang up.
I took a bite into my bowl of ice cream and found pieces of chocolate.,I took a bite into my bowl of ice cream and found pieces of glass.
I started taking cooking classes. I am doing good but i have to keep practicing.,I started taking cooking classes.
James decided to set up an A-line manufactured home high in the mountains.,James decided to set up an A-line manufactured home high in the mountains. He rapidly grew tired of the snow.
My niece was performing in a play. ,My niece was performing in a play.  She forgot some of her lines in a scene.
I decided to get a sandwich from a truck stop.,I decided to get a sandwich from a truck stop. It smelled like a dead rat.
I danced at the local club. I danced for several hours but was so tired toward the end of the night.,I danced at the local club. I danced at the local club and now my leg is sore.
I got paid with a check for my babysitting job last night.,I got paid with an IOU for my babysitting job last night.
I tried to pet a stray cat in my neighborhood,I tried to pet a stray cat in my neighborhood It hissed and ran away
I made a pot on my own in clay class. The lid wouldn't fit on the top.,I made a pot on my own in clay class. It fell and was broken in the kiln.
"After the hurricane, my backyard was covered in leaves.","After the hurricane, my backyard was covered in fallen trees."
"I drove my boyfriend to the medical center for his colonoscopy, and waited for him in the waiting room until it was done.","I drove my boyfriend to the medical center for his colonoscopy, and had to wait for him in the car until it was done, because of the pandemic restrictions."
I went to the city fair. I won multiple prizes at the fair.,I went to the city fair. I ran into my friends at the gate. 
I found out the new clothes I bought online were used after receiving them.,I found out the new clothes I bought online were used while wearing them.
"I climbed up on the roof, I looked into the distance, it was clear.","I climbed up on the roof, I looked into the distance, it was cloudy."
I received a text notification letting me know that my credit card payment was due.,I received a text notification letting me know that my credit card payment was past due.
I walked to the corner store to buy some beer. The store had already closed.,"I walked to the corner store to buy some beer. While inside, the store was robbed, and so was I."
"I adopted all the stray pets I came across. The animals damaged my couch and soiled my furniture, i have nothing to sit on and no money to replace it.","I adopted all the stray pets I came across. The county condemned my house because of the smell they created, rendering me homeless."
I called my state office to apply for welfare. The officer I talked to called me names and warned me not to call again.,"I called my state office to apply for welfare. I was turned down because I waited too long to apply, even though it was impossible to get through on their phone systems."
I made cocktails for the party.  I spilled the pitcher on the floor.,I made cocktails for the party.  I spilled the pitcher on the floor and two people slipped on the mess and got hurt.
"My daughter was sick so I went to the pharmacy to get medicine, but it was expensive.","My daughter was sick so I went to the pharmacy to get medicine, but it was closed."
I went to the dentist. I was told I had no issues with my teeth.,I went to the dentist. The dentist said I needed to brush better.
I visited Lake Tahoe last winter.,I visited Lake Tahoe last winter. The water was fouled and filthy.
I dropped my toothbrush into the bathroom sink.,I dropped my toothbrush onto the bathroom floor.
My dog never wants to go outside with me unless it's bright and sunny.,My dog never wants to go outside with me unless it's raining.
